jpeg_quality,snr_db,psnr_db,codec_psnr_db,reception_rate,jpeg_size_bytes
10,5,8.35,20.88,0.0,977
10,8,8.35,20.88,0.0,977
10,10,8.35,20.88,0.0,977
10,12,8.35,20.88,0.0,977
10,14,8.39,20.88,0.007,977
10,16,9.9,20.88,0.328,977
10,18,17.68,20.88,0.918,977
10,20,20.01,20.88,0.985,977
10,25,19.13,20.88,0.97,977
10,30,18.69,20.88,0.963,977
20,5,8.35,22.93,0.0,1128
20,8,8.35,22.93,0.0,1128
20,10,8.35,22.93,0.0,1128
20,12,8.35,22.93,0.0,1128
20,14,8.39,22.93,0.007,1128
20,16,9.96,22.93,0.336,1128
20,18,18.47,22.93,0.918,1128
20,20,21.74,22.93,0.985,1128
20,25,21.74,22.93,0.985,1128
20,30,21.74,22.93,0.985,1128
30,5,8.35,25.49,0.0,1388
30,8,8.35,25.49,0.0,1388
30,10,8.35,25.49,0.0,1388
30,12,8.35,25.49,0.0,1388
30,14,8.39,25.49,0.007,1388
30,16,9.97,25.49,0.328,1388
30,18,19.17,25.49,0.918,1388
30,20,24.39,25.49,0.993,1388
30,25,24.39,25.49,0.993,1388
30,30,24.39,25.49,0.993,1388
50,5,8.35,28.72,0.0,1584
50,8,8.35,28.72,0.0,1584
50,10,8.35,28.72,0.0,1584
50,12,8.35,28.72,0.0,1584
50,14,8.39,28.72,0.007,1584
50,16,10.01,28.72,0.336,1584
50,18,19.69,28.72,0.918,1584
50,20,26.67,28.72,0.993,1584
50,25,22.86,28.72,0.978,1584
50,30,20.11,28.72,0.948,1584
70,5,8.35,31.79,0.0,1864
70,8,8.35,31.79,0.0,1864
70,10,8.35,31.79,0.0,1864
70,12,8.35,31.79,0.0,1864
70,14,8.39,31.79,0.007,1864
70,16,10.0,31.79,0.328,1864
70,18,19.95,31.79,0.918,1864
70,20,28.31,31.79,0.993,1864
70,25,23.04,31.79,0.97,1864
70,30,25.98,31.79,0.985,1864
90,5,8.35,39.01,0.0,2584
90,8,8.35,39.01,0.0,2584
90,10,8.35,39.01,0.0,2584
90,12,8.35,39.01,0.0,2584
90,14,8.39,39.01,0.007,2584
90,16,10.0,39.01,0.328,2584
90,18,20.17,39.01,0.918,2584
90,20,30.27,39.01,0.993,2584
90,25,27.14,39.01,0.985,2584
90,30,23.57,39.01,0.97,2584
